,hashtags,hashtagsDate,hashtagsedge_liked_by.count
20,"['oregonstateuniversity', 'osu', 'osufootball', 'beavers', 'collegefootball', 'gobeavers', 'cfb', 'americanfootball_all_day']",8/2/17 9:46,2569
21,[],5/22/18 22:40,2471
22,"['oregonstateuniversity', 'tinkle', 'grateful', 'ninja', 'basketball', 'pac12', 'oregonstate', 'lovemyjob', 'pac12basketball', 'beautifulpeople', 'amazing', 'love', 'bestcoach', 'starplayer', 'inspiration', 'teamwork', 'oregon', 'warriors', 'fatherandson', 'bestplayer', 'ewok', 'pac12mediaday', 'blessed']",10/21/16 22:22,2326
23,"['fosterkittenlovesonnetandhaiku', 'tibialhemimelia', 'formerfoster', 'oregonstateuniversity', 'differentlyabled', 'perfectlyimperfect', 'spayandneuter']",1/18/19 11:15,2317
24,['Smashletes'],6/27/18 21:06,2254
25,"['oregonstateuniversity', 'pac12', 'osu', 'osufootball', 'beavers', 'oregonstate', 'gobeavs', 'americanfootball_all_day']",10/9/17 13:55,2245
26,"['TiggerTheSpecialCat', 'oregonstateuniversity']",12/17/18 10:09,2179
27,"['civilwar', 'collegegameday', 'oregonstateuniversity', 'osu', 'beavers', 'osubeavers', 'collegefootball', 'oregonstate', 'beavs', 'riddell', 'cfb', 'gobeavs', 'oregonstatebeavers', 'speedflex', 'americanfootball_all_day']",11/23/16 12:35,2030
28,"['liveauthentic', 'PNWmoms', 'oregonstateuniversity', 'documentingmotherhood', 'balloonarch', 'gobeavers', 'livethelittlethings', 'fallstyle', 'momentsinmotherhood', 'fredmeyer', 'gamedaygreats', 'motherhoodrising', 'mytinymoments', 'letthembelittle', 'simplychildren', 'momblogger', 'mommybloggers', 'photooftheday', 'collegegameday', 'ohheymama', 'portlandblogger', 'pdxblogger', 'toddlerstyle', 'sponsored', 'footballparty', 'oregonstatefootball']",9/22/18 7:59,1910
29,"['oregon', 'civilwar', 'oregonstateuniversity', 'beavers', 'oregonstate', 'beavs', 'gobeavs', 'oregonstatefootball', 'beavernation']",11/26/16 16:21,1898
30,"['citythekitty', 'mypurpose', 'cooltohaveclaws']",5/31/15 21:33,1863
31,[],5/17/18 9:41,1858
32,"['ncaa', 'oregonstateuniversity', 'pac12', 'CFB', 'OSUfootball', 'beavers', 'collegefootball', 'springball', 'oregonstate', 'gobeavers', 'OSU', 'gobeavs', 'oregonstatebeavers', 'oregonstatefootball', 'americanfootball_all_day', 'OSUbeavers']",2/19/17 7:27,1811
33,"['heskicks', 'airjordan', 'collectivekicks', 'oregonstateuniversity', 'gobeavs']",5/28/17 7:34,1667
34,['oregonstateuniversity'],4/13/19 20:39,1649
35,"['turnup', 'girlstrip', 'vacation', 'party', 'bestfriendgoals', 'oregonstateuniversity', 'shenanigans', 'osu', 'corvallis', 'oregonstate', 'gobestfriendthatsmybestfriend', 'nightout', 'corvegas', 'weekendvibes', 'vegas']",6/4/18 13:57,1558
36,"['beauty', 'followforfollow', 'oregonstateuniversity', 'hot', 'comment4comment', 'sunset', 'naturephotography', 'commentforcomment', 'Corvallis', 'spring', 'nature', 'contrast', 'follow4follow', 'naturelovers', 'springtime', 'comment', 'tree', 'forest', 'oregon', 'blue', 'sky', 'beautiful']",4/19/16 12:27,1495
37,"['oregonflag', 'oregonstateuniversity', 'oregonstateflag', 'osu', 'crests', 'graphicdesign', 'universities', 'Repost', 'pentagram', 'oregonstatelogo', 'oregonstate', 'benny', 'beavernation', 'corvallis', 'beavers', 'identitydesign', 'oregon', 'pentagramdesign', 'art', 'aiga', 'logos', 'identity', 'landgrantuniversity']",4/25/17 13:05,1492
38,"['oregoncoasttrail', 'oregonphotography', 'world_beautifulshots', 'oregonexplored', 'Oregoncoast', 'oregonmade', 'oregonartist', 'OregonStateUniversity', 'oregonnw', 'oregontrail', 'oregonisawesome', 'oregonlife', 'oregoncoast', 'oregonlove', 'oregoncoastlove', 'oregoncoastphotographer', 'oregon', 'oregoncoastfind', 'oregoncoastexplored', 'oregoncoastvacation', 'oregonphotographer']",2/28/18 11:23,1485
39,"['oregon', 'f150', 'weekend', 'twd', 'usa', 'oregonstateuniversity', 'fordlife', '2a', 'tgif', 'merica', 'igmilitia', 'lucille', 'trainhard', 'weekendfun', 'tgifridays', 'beavernation']",12/16/16 18:55,1482
40,"['BeaverNation', 'GoBeavs']",2/24/17 22:15,1384
41,"['dancers', 'fusion', 'groupdance', 'dancelife', 'team', 'thefusionists', 'oregonstateuniversity', 'passion', 'portlandoregon', 'bollywood', 'danceon', 'indiandance', 'bollyfusion', 'bollyshake', 'snehadesaichoreography']",4/12/19 11:49,1355
42,[],10/13/18 14:32,1354
43,[],4/27/18 21:06,1353
44,"['oregon', 'like', 'likeforlike', 'blue', 'followforfollow', 'oregonstateuniversity', 'spring', 'corvallis', 'nature', 'comment4comment', 'sky', 'clouds', 'like4like', 'comment', 'beautiful', 'follow4follow', 'white', 'college']",4/15/16 11:21,1349
45,[],4/3/19 11:11,1333
46,"['KYBOE', 'ad', 'LIVEBIGGER']",9/9/17 12:47,1285
47,[],5/27/16 10:55,1270
48,"['OregonStateUniversity', 'MedfordOregon']",9/10/18 9:52,1262
49,"['GoBeavs', '3Peat']",2/24/17 22:17,1246
50,"['oregonweddingphotographer', 'Oregonbride', 'oregonphotography', 'oregonexplored', 'Oregoncoast', 'oregonmade', 'oregonwinecountry', 'oregonartist', 'OregonStateUniversity', 'oregonrealestate', 'oregongirl', 'oregonnw', 'oregontrail', 'OregonBeer', 'oregonisawesome', 'oregonstate', 'oregonwedding', 'oregonliving', 'oregonlife', 'oregonlove', 'oregoncity', 'oregonwine', 'oregongrown', 'oregonweed', 'Oregon', 'oregonian', 'oregonducks', 'oregonphotographer', 'OregonZoo', 'oregondogs']",4/25/19 9:17,1226
51,"['556', 'tactical', 'instagram', 'ar15', 'oregonstateuniversity', 'radianweapons', '2a', 'tacticool', 'pewpew', 'osu', 'gunsofinstagram', 'frenchbo', 'igmilitia', '556natoflicker', 'giveaway', 'shooter', 'leupold', 'merica', 'pewpewlife']",12/18/16 7:29,1223
52,"['oregon', 'likeforlike', 'followforfollow', 'flower', 'commentforcomment', 'follow', 'Corvallis', 'oregonstateuniversity', 'flowers', 'love', 'nature', 'comment4comment', 'naturephotography', 'like4like', 'comment', 'nature_perfection', 'follow4follow', 'forest', 'colorful']",4/26/16 12:32,1216
53,"['oregonstateuniversity', 'reserstadium', 'reser', 'parkerstadium', 'gill', 'parkerpup', 'gillcoliseum', 'gobeavs']",7/25/18 20:38,1189
54,"['DontRainOnMyParade', 'oregonstateuniversity', 'TiggerTheSpecialCat', 'freshstart', 'spayandneuter']",1/29/19 18:26,1175
55,"['explore', 'landscapephotography', 'oregonstateuniversity', 'earth', 'beach', 'hiking', 'naturephotography', 'pnw', 'beautifuldestinations', 'nature', 'earthpix', 'landscape_lovers', 'earth_shotz', 'photooftheday', 'earthporn', 'hikingadventures', 'naturegram', 'pnwwonderland', 'ocean', 'picoftheday', 'outdoors', 'oregon', 'vacation', 'instagram', 'outinoregon', 'landdscape', 'travelphotography', 'exploretocreate', 'instagood', 'travel']",6/15/18 15:55,1144
56,"['portland', 'oregonstateuniversity', 'nature', 'horticulture', 'plants', 'landscapedesign', 'gardendesigner', 'garden', 'plantlover', 'mastergardener', 'designtip', 'plantlife', 'gardendesign', 'gardening', 'inspiration', 'gardeninspiration', 'danhinkley']",3/2/17 6:32,1139
57,"['oregon', 'likeforlike', 'naturelovers', 'followforfollow', 'flower', 'red', 'commentforcomment', 'oregonstateuniversity', 'commentback', 'love', 'nature', 'comment4comment', 'like4like', 'comment', 'beautiful', 'follow4follow', 'pretty']",4/27/16 12:45,1134
58,[],5/30/17 3:14,1117
59,"['stylediary', 'affordablefashion', 'gameday', 'uoonyou', 'oregonstateuniversity', 'portlandblogger', 'femfeed', 'collegeblogger', 'collegefootball', 'mycampuscloset', 'nbpmodel', 'casualstyle', 'urbanoutfitters', 'freepeople', 'gobeavs', '9daystillgameday', 'oregonstatefootball']",9/13/18 9:07,1088
60,"['gobeavs', 'muquad', 'oregonstateuniversity']",9/11/16 13:11,1069
61,"['PacificLoggingCongress2018', 'OregonStateUniversity', 'Loggergirl', 'PLC2018', 'ForestryEquipment', 'LS855E', 'getinvolved', 'Tigercat', 'youngloggers', 'TigercatFamily', 'PacificLoggingCongress', 'Forestry', 'FutureJobOpportunities', 'steepterrainlogging', 'Oregon', 'forestindustry', 'ShovelLogger', 'OregonState', 'SteepSlope']",12/12/18 7:52,1067
62,"['OregonStateUniversity', 'Agenda2030', 'GlobalWarming', 'NewWorldOrder', 'environmental', 'deforestation', 'WorldGovernance', 'ParisAccord', 'ClimateChange', 'Agenda21', 'SustainableDevelopment', 'ScientificDictatorship', 'COP23', 'Technocracy', 'GeoEngineering', 'PopulationControl']",11/16/17 11:21,1040
63,"['apartmentliving', 'stylediary', 'bedbathandbeyondhaul', 'homegoodshappy', 'oregonstateuniversity', 'portlandblogger', 'tjmaxxfinds', 'oregonblogger', 'americanstyle', 'collegelife', 'casualstyle', 'myshopstyle', 'homegoods', 'homedecorlovers', 'sscollective', 'bloglovinhome', 'apartmentgoals', 'apartmentdecor']",8/13/18 8:58,1036
64,['humansofuniversity'],10/17/18 12:33,1024
65,['humansofuniversity'],10/17/18 12:33,1024
66,"['oregon', 'tailgating', 'teamspirit', 'win', 'homecoming', 'oregonstateuniversity', 'sponsored', 'kroger', 'simpletruth', 'privateselection', 'FREDMEYER', 'oregonstate', 'oregonducks', 'footballseason', 'GameDayGreats', 'giveaway', 'sweepstakes', 'giftcard', 'oregonstatebeavers', 'footballtime']",9/14/18 23:27,1018
67,[],4/1/19 13:41,1016
68,"['OregonStateUniversity', '⚡️', 'CutsByWatts', 'HighQuailty', 'NextChapter', 'GoBEAVS', 'TheJourney']",12/15/18 13:41,1003
69,"['OregonStateUniversity', 'CutsByWatts', '2013GatesMillenniumScholar', 'CollegeGraduate']",6/15/18 21:19,999
70,"['oregonstateuniversity', 'wrecktheuni']",4/30/18 16:33,993
71,"['gobeavs', 'corvallis', 'oregonstateuniversity']",1/23/16 8:31,984
72,"['oregonstateuniversity', 'c63scoupé']",5/4/17 17:43,978
73,"['outfitinspo', 'affordablefashion', 'starbuckscoffee', 'pnw', 'americanstyle', 'oregonstateuniversity', 'misguided', 'portlandblogger', 'tjmaxxfinds', 'homegoodshappy', 'collegeblogger', 'collegelife', 'casualstyle', 'starbucks', 'ootdfashion', 'myshopstyle', 'bloglovin', 'homedecor', 'apartmentdecor', 'homegoodsfinds']",9/19/18 8:49,970
74,"['momofone', 'socal', 'motivationmonday', 'lakersfan', 'oregonstateuniversity', 'plantbasedgains', 'winenot', 'veganlife', 'coparent', 'temeculaca', 'whynotyou', 'oregonstate', 'nopainnochampagne', 'seahawksnation', 'strongmoms']",7/16/18 17:30,962
75,"['oregon', 'f150', 'sunsets', 'pnw', 'trucks', 'f150nation', 'oregonstateuniversity', 'oregonian', 'rhinorack', 'pnwonderland', 'ford', 'oregun']",2/28/17 17:44,958
76,[],10/19/17 15:06,954
77,"['OregonStateUniversity', 'Education', 'ProtectWhatYouLove', 'Research', 'OceanOptimism', 'OneOceanGlobal', 'DroneFootage', 'SaveOurWhales', 'Conservation', 'BlueWhale', 'Krill']",6/6/18 6:10,950
78,"['collegiate', 'aboutalook', 'pnw', 'thefashionforce', 'oregonstateuniversity', 'portlandblogger', 'oregonblogger', 'femfeed', 'GoBeavs', 'collegeblogger', 'pdxblog', 'bloglovin', 'corvallisoregon', 'lifestyleblogger', 'OutThere', 'beavernation']",5/13/18 14:47,893
79,['mcmenamins'],1/10/19 16:31,887
80,"['oregonstateuniversity', 'korean', 'skincare', 'menstyle', 'menshair', '강남남자', 'tokyolife', 'usdaorganic', 'mancare', 'entrepreneur', 'cosmetics', 'allinone', 'seattle', 'mensfashion', 'koreanskincare', '인스타일', 'rx88', 'akomerican', '갓세븐', 'got7', '인스타마켓', 'sephora', '인스타그램', 'fda', 'nyc', 'rx88에코올인원크림', 'luxury', 'rx88에코올인원크림디어맨', 'luxuryskincare']",4/19/17 0:07,874
81,"['greatestshowondirt', 'oregonstateuniversity', 'baseball', 'beavers', 'collegeworldseries', 'lsu', 'tigers', 'cws']",6/23/17 11:47,871
82,['HGI'],11/27/14 16:05,861
83,"['oregonfootball', 'oregonstateuniversity', 'CFB', 'OSUfootball', 'beavers', 'collegefootball', 'oregonstate', 'gobeavers', 'OSU', 'gobeavs', 'oregonstatefootball', 'americanfootball_all_day', 'OSUbeavers']",9/2/16 7:12,857
84,"['明明是跑者身分', 'oregonstateuniversity', 'duck', 'my', 'university', 'nikebasketball', 'nike', 'ncaa', '第一次發圖文不符有點緊張', 'basketball', 'oregonstate', 'NIKE起源地', 'photography', 'photooftheday', 'usa', '為何動了球者的靈魂', 'usabasketball', '一切都是不小心的', 'ducks', 'oregon', '人生首次站在NCAA的球場上', '下次好想親吻NBA的地板', '其實內心好激動']",8/22/18 19:11,855
85,"['oregonbeavers', 'oregonstateuniversity', 'osu', 'osufootball', 'beavers', 'collegefootball', 'oregonstate', 'gobeavers', 'cfb', 'oregonstatebeavers', 'americanfootball_all_day', 'oregonfootball']",5/29/16 11:37,850
86,"['weatherfordhall', 'oregonstateuniversity', 'osu', 'oregonstate', 'gobeavs', 'beavernation']",6/9/17 10:46,846
87,[],2/24/17 22:25,846
88,['GoBeavs'],2/24/17 20:48,838
89,"['Repost', 'fosburyflop', 'highjump', 'oregonstateuniversity', 'adidassler', 'trackandfield', 'skyhorsepublishing', 'wizardofoz', 'AdiDassler', 'olympics', 'adidasfounder', 'dickfosbury', 'adidas']",12/12/18 13:50,835
90,"['houseportrait', 'oregonstateuniversity', 'osu', 'circaoldhouses', 'craftsman', 'houses_ofthe_world', 'awning', 'oldhousecharm', 'oregonstate', 'bungalow', 'archi_ologie', 'beautifulhousesoldandnew', 'corvallis', 'houses_phototrip', 'oldhouselove', 'SWcolorlove', 'bhghomes', 'curbed', 'curbappeal', 'total_houses', 'cottage', 'housestalker']",8/16/18 8:28,831
91,"['tibialhemimelia', 'fosterkittenlovesonnetandhaiku', 'sonnetandhaiku', 'oregonstateuniversity', 'differentlyabled', 'perfectlyimperfect']",1/30/19 1:13,823
92,['gobeavs'],7/3/18 10:17,821
93,"['collegegameday', 'goldenbears', 'oregonstateuniversity', 'osu', 'calbears', 'OSUfootball', 'osubeavers', 'collegefootball', 'gobeavers', 'cfb', 'gobeavs', 'californiagoldenbears', 'oregonstatebeavers', 'oregonstatefootball', 'americanfootball_all_day']",10/9/16 2:15,809
94,[],9/30/15 11:13,794
95,"['oregonstateuniversity', 'torchlight', 'nightphoto', 'nightskyline', '❤', 'nightskyphotography', 'bluelight', 'oregonsky', 'treetops', 'bendoregon', 'oregonstate', 'skylight', 'wikiup', 'travelvlog', 'hammockcamping', 'nightscape', 'hammockers', 'lightitup', 'traveloregon', 'campingvibes', 'nightphotos', 'trees', 'mysky', 'stump', 'lighttrails', 'campingtrip', 'nightshot', 'easternoregon', 'skylights']",8/14/17 21:03,785
96,"['pnwhikes', 'hikingbuddy', 'oregonstateuniversity', 'longexposure', 'oregonbound', 'osu', 'oregonexplored', 'oregonhiking', 'hikinggear', 'oregonmade', 'pnwsummer', 'pnwisbest', 'hiking4fun', 'hikingboots', 'pnw', 'oregonians', 'oregonlife', 'pnwhiking', 'pnwwonderland', 'pnwcollective', 'pnwphotographer', 'oregon', 'nightshots', 'oregonian', 'pnwlife', 'oregonhikes', 'hikingshoes']",6/28/17 18:02,783
97,[],3/19/19 8:53,772
98,"['cinema21', 'mfamovie', 'oregonstateuniversity', 'portlandstateuniversity']",2/1/18 7:27,759
99,"['tatau', 'oregonstateuniversity', 'sharkskin', 'osu', 'beavers', 'tataubrand', 'tataubrandfamily']",3/18/17 16:17,718
100,"['oregonsunset', 'smalltowns', 'Vortex', 'oregonstateuniversity', 'westcoast', 'trailcam', 'exploreoregon', 'countrystyle', 'countryroads', 'oregonsummer', 'oregonnw', 'upperleftusa', 'sheddoregon', 'shedd', 'farmingcountry', 'countryhome', 'countrylove', 'countrykids', 'brownsvilleoregon', 'oregon', 'smalltown', 'vortexgear', 'oregonian', 'rural', 'oregonborn', 'brownsville', 'countrylivin', 'vortexoptics']",6/28/17 3:04,716
101,[],6/8/18 17:12,707
102,"['wrestling', 'Repost', 'ncaa', 'oregonstateuniversity', 'KWC', 'canadawrestling', 'unitedworldwrestling', 'beavernation']",9/18/17 23:17,699
103,"['OregonStateUniversity', 'Zilla']",5/30/13 17:06,698
104,"['OregonStateUniversity', 'Loggergirl', 'PLC2018', 'ForestryEquipment', 'ForestProducts', 'LS855E', 'forestequipment', 'getinvolved', 'Tigercat', 'youngloggers', 'TigercatFamily', 'PacificLoggingCongress', 'Forestry', 'FutureJobOpportunities', 'FutureCareerOpportunities', 'steepterrainlogging', 'Oregon', 'forestindustry', 'ShovelLogger', 'SteepSlope']",12/12/18 11:40,694
105,['oregonstateuniversity'],7/12/18 15:56,694
106,[],8/27/17 23:43,662
107,"['OregonStateUniversity', 'Corvallis']",10/5/14 20:43,660
108,"['oahu', 'missingpolynesia', 'beavers', 'oregonstateuniversity']",7/6/17 23:48,659
109,"['oregon', 'brothers', 'oregonstateuniversity', 'fitness', 'getofftheroad', 'highspeedlowdrag', 'wildandfree', 'adventure', 'thundervegas']",5/31/18 21:17,649
110,"['wholegrain', 'minnstagram', 'oregonstateuniversity', 'eatrealfood', 'dessert', 'eatlocal', 'realfood', 'makebarleygreatagain', 'barleyalwaysgreatagain', 'dessertporn']",6/11/17 12:47,644
111,"['majoredinbeer', 'yepiwasafratboy', 'pnw', 'oregonstateuniversity', 'beaverstadium', 'imissmy20s', 'osu', 'goodtimes', 'osubeavers', 'collegelife', 'oregonstate', 'pnwonderland', 'collegedays', '556natoflicker', 'collegestudent', 'beerology', 'gobeavs', 'corvallisoregon', 'beavernation']",10/22/17 19:53,634
112,"['universalaudio', 'musicstudio', 'oregonstateuniversity', 'gml', 'mixing', 'dangerousmusic', 'schoeps', 'recordingengineer', 'anjunarecording', 'neumann', 'royer', 'avalon', 'manley', 'producerlife', 'concert', 'recording', 'studio', 'lynxaurora', 'studioporn', 'liverecording', 'producer', 'choral', 'recordingstudio', 'mixingengineer', 'gearporn', 'empiricallabs', 'protools']",6/10/17 17:41,633
113,"['oregon', 'countrymusic', 'oregonstateuniversity', 'football', 'benie', 'sports', 'singersongwriter', 'cowboyboots', 'countryboy', 'goodvibes', 'sportsgear', 'country', 'college', 'beavernation']",2/27/19 22:28,630
114,"['aredonutsafoodgroup', 'donutsarelife', 'oregonstateuniversity', 'imscrewed', 'corvallis', 'oregonstate', 'oregonmade', 'donuts', 'smallbusiness']",2/2/17 13:34,630
115,"['donewithfinals', 'springterm', 'oregonstateuniversity']",3/25/18 10:04,626
116,"['OregonStateUniversity', 'Loggergirl', 'PLC2018', 'ForestryEquipment', 'LS855E', 'getinvolved', 'Tigercat', 'SteepSlope', 'youngloggers', 'TigercatFamily', 'PacificLoggingCongress', 'Forestry', 'FutureJobOpportunities', 'steepterrainlogging', 'Oregon', 'forestindustry', 'ShovelLogger', 'thankyouDJI']",12/12/18 16:25,625
117,"['oregonstateuniversity', 'batting', 'milb', 'baseballislife', 'baseballlove', 'ncaa', 'osubaseball', 'highschoolbaseball', 'beisbol', 'ncaabaseball', 'oregonstate', 'baseballplayer', 'homerun', 'youthsports', 'baseball', 'battingpractice', 'baseballswag', 'youthbaseball', 'baseballseason', 'hitting', 'mlb', 'oregonstatebaseball', 'osubeavers', 'baseballlife', 'baseballplayers', 'collegebaseball', 'baseballamerica', 'hittingpost', 'beaverbaseball']",7/27/17 16:43,614
118,[],11/5/14 2:43,611
119,"['dhbwravensburg', 'oregonstateuniversity', 'racing', 'design', 'racecar', 'racecardriver', 'tbt', 'goGFR', 'fsae', 'oregonstate', 'globalformularacing', 'ThrowbackThursday', 'FSSpain', 'formulasae', 'GFRiends', 'FSGermany', 'FSAEMichigan', 'teamworkmakesdreamwork', 'engineering', 'team', 'FSAustria', 'weAreGFR', 'gfr15']",2/14/19 19:02,607
120,"['OregonStateUniversity', 'HumaneSociety', 'SunsetsandSkiesJewelry', 'TPForeverFoundation']",10/22/16 6:04,599
121,"['CollegeBaseball', 'OregonStateUniversity', 'CraftBeerAcrobat', 'beerphotography', 'Beertography', 'CraftBeer', 'Beavers', 'BendBrewDaddy', 'Beer', 'DigitalBath', 'InBend', 'NEIPA', 'ArtInspiresArt', 'HazyBeer', 'WestCoastBeerSquad', 'BelchingBeaver']",6/29/18 15:46,598
122,"['oregon', 'oregonfootball', 'oregonstateuniversity', 'osu', 'osufootball', 'beavers', 'osubeavers', 'oregonstate', 'gobeavers', 'oregonstatebeavers', 'americanfootball_all_day', 'beaverfootball']",6/16/16 13:07,588
123,"['socal', 'puppies', '멍스타그램', 'oregonstateuniversity', 'goldenretriever', '반려견', 'petsmart', '대형견', 'puppiesofinstagram', 'retriever']",7/13/18 12:30,580
124,[],2/8/19 15:43,575
125,"['agility', 'robotdesign', 'tech', 'oregonstateuniversity', 'balancerobot', 'locomotion', 'technology', 'innovation', 'walkingrobot', 'walking', 'robotics', 'robot']",2/26/17 15:11,575
126,"['ACPT', 'separateYOUrself', 'oregonstateuniversity']",2/10/18 21:47,574
127,"['oregonstateuniversity', 'hiking', 'pnwonderland', 'naturephotography', 'pacificnorthwest', 'goldenhour', 'cherryblossom', 'pnw', '2470mmf28', 'upperleftusa', 'spring', 'willamettevalley', 'nature', 'oregonstate', 'dof', 'corvallisphotography', 'springtime', 'corvallis', 'downtowncorvallis', 'oregon', 'canonphotography', 'albanyoregon', 'eugeneoregon', 'art', 'oregonphotographer', 'bokeh', 'visitcorvallis']",3/31/18 9:36,573
128,"['mondaymood', 'ketorecipe', 'oregonstateuniversity', 'pacificnorthwest', 'mondayinspiration', 'hotcoffee', 'grassfedbutter', 'coffeeshop', 'ketoadapted', 'icedcoffee', 'mocha', 'frappuccino', 'ketorecipes', 'ketoforbeginners', 'coffee_time', 'ketoweightloss', 'coffeeholic', 'corvallis', 'coffee_inst', 'ketogeniclife', 'ketodiet', 'ketobreakfast', 'ketos', 'oregon', 'coffee', 'coffeebar', 'ketotransformation', 'homemadecoffee', 'coffeetime', 'keto']",3/11/19 10:11,572
129,"['OregonStateUniversity', 'GoBeavs', 'OSU']",11/13/16 11:42,567
130,"['oregonstateuniversity', 'osubeaversfootball', 'osu', 'reserstadium', 'ncaafootball', 'beaverfootball', 'pac12', 'football', 'sandiegostatefootball', 'northernarizonafootball', 'orangeandblack', 'oregonstate', 'beavernation', 'division1', 'osufootball', 'beavers', 'sec', 'gobeavs', 'oregonstatebeavers', 'oregon', 'utahstatefootball', 'osubeavers', 'fairfaxlionsfootball', 'footballseason', 'oregonstatefootball']",9/8/15 0:02,567
131,"['PNW', 'OregonStateUniversity', 'Rain', 'Beautiful', 'Corvallis', 'MU', 'Note7Picture', 'Beavers', '2016', 'PacificNorthwest', 'OSU', 'Note7', 'Campus', 'MemorialUnion']",10/16/16 13:42,565
132,['GoBeavs'],2/24/17 15:13,555
133,['Pac12'],11/2/14 14:39,548
134,[],11/17/18 22:43,545
135,"['OregonStateUniversity', 'CutsByWatts', 'icutproacademy', 'SelfTaughtBarber', 'icutprofraternity', 'TheRichBarber', 'barbershopconnect', 'OSUBarber', 'BarberLife', 'OregonStateBarber', 'TheRichBarberCompany', 'NastyBarbers', 'icutpro', 'HighVoltage', 'OregonBarber', 'SacramentoNative', 'CorvallisBarber']",4/23/17 10:43,544
136,[],11/22/18 13:31,538
137,"['oregonstateuniversity', 'golillipo', 'gettinit', 'letseat', '2017', 'alwaysstaytrue', '3cousins', 'napoleons', 'graduate', 'familyday']",6/25/17 5:31,534
138,"['gratitude', 'champs', 'oregonstatebaseball', 'oregonstateuniversity', 'itsyourcoach', 'winning', 'friends', 'gobeavs']",11/17/18 5:28,531
139,"['goldenhour', 'kentuckyliving', 'oregonstateuniversity', 'pewpew']",1/9/19 14:02,526
140,[],10/9/17 13:06,524
141,"['HighVoltageHighQuality', 'CutsByWatts', 'OSUBarber', 'CorvallisBarber']",5/13/17 19:24,523
142,['storyportrait'],12/1/12 13:20,521
143,"['oregonstateuniversity', 'scienceteacher', 'yellowzone', 'baseballmom', 'angles', 'oregonstate', 'rotation', 'launchangle', 'baseballplayer', 'cws', 'baseballcards', 'ontilt', 'baseball', 'greenzone', 'beavers', 'baseballdad', 'crankit', 'justdigin', 'baseballswag', 'oregon', 'baseballhat', 'oregonstatebaseball', 'baseballgame', 'rygzones', 'stickfigures', 'stickfigure', 'baseballplayers', 'baseballcoach', 'hittingpost']",6/29/18 21:41,520
144,"['osubaseball', 'oregonstateuniversity', 'osu', 'reser', 'gill', 'goldensofinstagram', 'parkerpup', 'collegebaseball']",6/28/18 20:30,520
145,['gobeavs'],9/7/15 23:37,518
